Treatment,n,sd,numballs,margin,ci.lower,ci.higher
  Control,302,0.8316525406586419,2.3443708609271523,0.09417514412758639,2.250195716799566,2.4385460050547385
 Treatment,291,1.028126778923455,2.6460481099656357,0.11862180461227141,2.527426305353364,2.7646699145779072
