null.deviance,df.null,logLik,AIC,BIC,deviance,df.residual,nobs,model
947.783180673492,716,-456.0569376599795,938.113875319959,997.589861247754,912.113875319959,704,717,reg1
948.8092969502394,716,-441.31707578772944,908.6341515754589,968.1101375032539,882.6341515754589,704,717,reg2
816.6585584589585,716,-388.7752522536216,803.5505045072432,863.0264904350382,777.5505045072432,704,717,reg3
